,Text,User
19301,"#Mayotte vit une véritable submersion migratoire : les Comores revendiquent la souveraineté de l'île et envoient des femmes accoucher là-bas.

A Mayotte et sur l’ensemble du territoire national, le droit du sol est évidemment une pompe aspirante de l'immigration ! @Le_Figaro https://t.co/c1KwRJnUvw",Jordan Bardella
41750,"Amis de droite, il est temps de déconstruire la bureaucratie fédérale | JDM https://t.co/uRtlsAsS7T",Mathieu Bock-Côté
8481,"Dans la Drôme, vous savez mieux que personne que les mots de Grand Remplacement, de Francocide, de djihadisme du quotidien, se teintent parfois du sang de nos enfants et des larmes de leurs mères. https://t.co/nlkPp4W3Hm",Eric Zemmour
6545,"📺 L’an prochain, le remboursement des intérêts de la dette sera le premier poste de dépense de l’Etat, devant l’Education Nationale. 

Voilà le bilan du « Mozart de la Finance » : un État ruiné et endetté jusqu’au cou. https://t.co/oldbIixgfg",Edwige Diaz Ⓜ️
13129,"Les émeutiers de #NouvelleCalédonie sont-ils si différents de ceux des banlieues en métropole ? 

Retrouvez l'intégralité de l'émission sur YouTube !
https://t.co/BPr0snCbtA https://t.co/U6hLD6Y7eu",Gilbert Collard
41223,"Tourisme : 10 choses à faire ou à voir en famille en Estonie
https://t.co/SWDQnUngzn",Breizh-Info
33679,"Ah oui, Poutou, c’est le type qui se présente sur la même liste que François Hollande… https://t.co/9W0w4sbNcP",Régis Le Sommier
32836,"⚔️ Le 23 mai 1430 : Jeanne d'Arc est capturée à Compiègne, une ville alors assiégée par les forces bourguignonnes alliées aux Anglais.
Lors d'une sortie pour repousser les assaillants, Jeanne est désarçonnée de son cheval et capturée par un archer bourguignon.
Les Bourguignons la https://t.co/iknL4NCgfF",Radio Courtoisie
25482,"Les Français aimeraient avoir plus d'enfants, mais @EmmanuelMacron refuse de revenir sur la déconstruction idéologique de la politique familiale de @fhollande.

L'avenir de notre système social et de la 🇫🇷 dépend largement de notre dynamisme démographique
https://t.co/22CFPYDNJA",Le Syndicat de la Famille
40456,"[ENTRETIEN] Laurence Trochu : ""J'appelle les fillonistes orphelins à nous rejoindre"" - Par Louis de Torcy
#Reconquête #européennes2024
Que défendra-t-elle au Parlement européen ? Laurence Trochu se confie à BV
https://t.co/AHw9MvTBSQ",Boulevard Voltaire
28085,"Pause.

N'oubliez pas d'écrire pendant les vacances. À vos amis, à vos parents, à l'inconnu, à l'impossible... Écrivez. https://t.co/3GI2cOYEMA",Maud Koffler
20988,"« Je prends le #métro à Paris depuis dix ans et c'est un enfer sans nom ! Entre les agressions verbales et physiques, les mendiants menaçants, les crackeux désorientés, les gens mal lunés et les frotteurs complètement allumés, c'est juste devenu insupportable !» @CNEWS https://t.co/RJSFlIWOPS",Kevin Bossuet
23134,"Ah bon mais comment ça se fait ? 
Enfin, avec les ""cours d'éducation à la vie affective"" de Nicole Belloubet, tout rentrera dans l'ordre.",Laurent Obertone
20976,"« L'annulation du grand débat au #SalonDeLAgriculture est le signe d'un pouvoir en perdition. Emmanuel Macron n'arrive plus à rassembler et n'a aucune vision. Il pense que parler, c'est faire et que faire c'est parler ! Son pouvoir est incontestablement aux abois !» @CNEWS https://t.co/KgvXujAe4S",Kevin Bossuet
